id,name,link,submit_link,submitted_solutions,accuracy,status_link,difficulty
27,Deputy Chef,https://www.codechef.com/problems/DEPCHEF,https://www.codechef.com/submit/DEPCHEF,2320,38.55,https://www.codechef.com/status/DEPCHEF,beginner
28,Chef And his Cake,https://www.codechef.com/problems/GIT01,https://www.codechef.com/submit/GIT01,2321,34.65,https://www.codechef.com/status/GIT01,beginner
29,Winning Strategy,https://www.codechef.com/problems/TOWIN,https://www.codechef.com/submit/TOWIN,2321,20.04,https://www.codechef.com/status/TOWIN,beginner
30,Chef and Typing,https://www.codechef.com/problems/TYPING,https://www.codechef.com/submit/TYPING,2322,35.93,https://www.codechef.com/status/TYPING,beginner
31,A Problem on Sticks,https://www.codechef.com/problems/TREE2,https://www.codechef.com/submit/TREE2,2322,27.67,https://www.codechef.com/status/TREE2,beginner
32,Chef and Linear Chess,https://www.codechef.com/problems/LINCHESS,https://www.codechef.com/submit/LINCHESS,2322,44.24,https://www.codechef.com/status/LINCHESS,beginner
33,Safe Robots,https://www.codechef.com/problems/SAFEROBO,https://www.codechef.com/submit/SAFEROBO,2323,36.81,https://www.codechef.com/status/SAFEROBO,beginner
34,Ada King,https://www.codechef.com/problems/ADAKNG,https://www.codechef.com/submit/ADAKNG,2324,84.86,https://www.codechef.com/status/ADAKNG,beginner
35,Chef and Proxy,https://www.codechef.com/problems/PROXYC,https://www.codechef.com/submit/PROXYC,2324,20.28,https://www.codechef.com/status/PROXYC,beginner
36,Chef and Pairs,https://www.codechef.com/problems/CPAIRS,https://www.codechef.com/submit/CPAIRS,2324,27.59,https://www.codechef.com/status/CPAIRS,beginner
37,Chef and Numbers,https://www.codechef.com/problems/RECNDNOS,https://www.codechef.com/submit/RECNDNOS,2324,34.67,https://www.codechef.com/status/RECNDNOS,beginner
38,Fibonacci String,https://www.codechef.com/problems/CLFIBD,https://www.codechef.com/submit/CLFIBD,2325,16.73,https://www.codechef.com/status/CLFIBD,beginner
39,Magic Set,https://www.codechef.com/problems/MGCSET,https://www.codechef.com/submit/MGCSET,2325,33.85,https://www.codechef.com/status/MGCSET,beginner
40,Mr Pr in a Dilemma ,https://www.codechef.com/problems/ICM2008,https://www.codechef.com/submit/ICM2008,2325,25.1,https://www.codechef.com/status/ICM2008,beginner
41,Byte to Bit,https://www.codechef.com/problems/BITOBYT,https://www.codechef.com/submit/BITOBYT,2326,24.51,https://www.codechef.com/status/BITOBYT,beginner
42,Chef and Game with Sequence,https://www.codechef.com/problems/L56GAME,https://www.codechef.com/submit/L56GAME,2328,30.67,https://www.codechef.com/status/L56GAME,beginner
43,Train or Walk,https://www.codechef.com/problems/WALKFAST,https://www.codechef.com/submit/WALKFAST,2328,47,https://www.codechef.com/status/WALKFAST,beginner
44,Chain Reaction,https://www.codechef.com/problems/REACTION,https://www.codechef.com/submit/REACTION,2330,37.03,https://www.codechef.com/status/REACTION,beginner
45,Trace of Matrix,https://www.codechef.com/problems/TRACE,https://www.codechef.com/submit/TRACE,2336,112.07,https://www.codechef.com/status/TRACE,beginner
46,Select Training Set,https://www.codechef.com/problems/TRAINSET,https://www.codechef.com/submit/TRAINSET,2337,36.75,https://www.codechef.com/status/TRAINSET,beginner
47,Hard Sequence,https://www.codechef.com/problems/HRDSEQ,https://www.codechef.com/submit/HRDSEQ,2338,47.83,https://www.codechef.com/status/HRDSEQ,beginner
48,Chef and Distinct Numbers,https://www.codechef.com/problems/CEQUAL,https://www.codechef.com/submit/CEQUAL,2341,28.75,https://www.codechef.com/status/CEQUAL,beginner
49,Camp Or Not,https://www.codechef.com/problems/CAMPON,https://www.codechef.com/submit/CAMPON,2342,38.94,https://www.codechef.com/status/CAMPON,beginner
50,Compress the List,https://www.codechef.com/problems/CMPRSS,https://www.codechef.com/submit/CMPRSS,2342,48.05,https://www.codechef.com/status/CMPRSS,beginner
51,A puzzle game,https://www.codechef.com/problems/H1,https://www.codechef.com/submit/H1,2343,33.72,https://www.codechef.com/status/H1,beginner
52,Qualifying to Pre Elimination,https://www.codechef.com/problems/QUALPREL,https://www.codechef.com/submit/QUALPREL,2345,40.85,https://www.codechef.com/status/QUALPREL,beginner
53,Chef Drinks Coke,https://www.codechef.com/problems/COKE,https://www.codechef.com/submit/COKE,2345,34.52,https://www.codechef.com/status/COKE,beginner
54,Reduce to One,https://www.codechef.com/problems/REDONE,https://www.codechef.com/submit/REDONE,2346,19.78,https://www.codechef.com/status/REDONE,beginner
55,Khaled in HIT,https://www.codechef.com/problems/HIT,https://www.codechef.com/submit/HIT,2348,48.78,https://www.codechef.com/status/HIT,beginner
56,Guddu on a Date,https://www.codechef.com/problems/KS2,https://www.codechef.com/submit/KS2,2351,21.48,https://www.codechef.com/status/KS2,beginner
57,Is This a Give Away,https://www.codechef.com/problems/GVAWAY,https://www.codechef.com/submit/GVAWAY,2355,38.87,https://www.codechef.com/status/GVAWAY,beginner
58,Split Stones,https://www.codechef.com/problems/SPLST,https://www.codechef.com/submit/SPLST,2356,70.99,https://www.codechef.com/status/SPLST,beginner
59,Weapon Value,https://www.codechef.com/problems/SC31,https://www.codechef.com/submit/SC31,2359,54.05,https://www.codechef.com/status/SC31,beginner
60,Tax Slabs,https://www.codechef.com/problems/SLAB,https://www.codechef.com/submit/SLAB,2363,31.93,https://www.codechef.com/status/SLAB,beginner
61,Chef and Card Game,https://www.codechef.com/problems/CRDGAME,https://www.codechef.com/submit/CRDGAME,2372,40.4,https://www.codechef.com/status/CRDGAME,beginner
62,Priya and AND,https://www.codechef.com/problems/CENS20D,https://www.codechef.com/submit/CENS20D,2376,45.11,https://www.codechef.com/status/CENS20D,beginner
63,Mode of Frequencies,https://www.codechef.com/problems/MODEFREQ,https://www.codechef.com/submit/MODEFREQ,2387,45.37,https://www.codechef.com/status/MODEFREQ,beginner
64,Chef And His Characters,https://www.codechef.com/problems/CHEFCHR,https://www.codechef.com/submit/CHEFCHR,2388,36.49,https://www.codechef.com/status/CHEFCHR,beginner
65,XOR  Wait for it,https://www.codechef.com/problems/XORNEY,https://www.codechef.com/submit/XORNEY,2389,18.21,https://www.codechef.com/status/XORNEY,beginner
66,Chef Wars   Return of the Jedi,https://www.codechef.com/problems/CHEFWARS,https://www.codechef.com/submit/CHEFWARS,2392,45.59,https://www.codechef.com/status/CHEFWARS,beginner
67,Easy Fibonacci,https://www.codechef.com/problems/FIBEASY,https://www.codechef.com/submit/FIBEASY,2397,16.48,https://www.codechef.com/status/FIBEASY,beginner
68,Task for Alexey,https://www.codechef.com/problems/ALEXTASK,https://www.codechef.com/submit/ALEXTASK,2401,17.21,https://www.codechef.com/status/ALEXTASK,beginner
69,Hard Cash,https://www.codechef.com/problems/CASH,https://www.codechef.com/submit/CASH,2412,46.2,https://www.codechef.com/status/CASH,beginner
70,Usain Bolt vs Tiger,https://www.codechef.com/problems/USANBOLT,https://www.codechef.com/submit/USANBOLT,2415,30.02,https://www.codechef.com/status/USANBOLT,beginner
71,K Fibonnaci,https://www.codechef.com/problems/KFIB,https://www.codechef.com/submit/KFIB,2428,16.2,https://www.codechef.com/status/KFIB,beginner
72,Chef and Strings,https://www.codechef.com/problems/CHEFSTR1,https://www.codechef.com/submit/CHEFSTR1,2432,40.49,https://www.codechef.com/status/CHEFSTR1,beginner
73,Chef and Number Game,https://www.codechef.com/problems/CHNUM,https://www.codechef.com/submit/CHNUM,2440,45.1,https://www.codechef.com/status/CHNUM,beginner
74,Archi and Comparsion,https://www.codechef.com/problems/NUMCOMP,https://www.codechef.com/submit/NUMCOMP,2451,27.01,https://www.codechef.com/status/NUMCOMP,beginner
75,Discount in a Shop,https://www.codechef.com/problems/DISCSHOP,https://www.codechef.com/submit/DISCSHOP,2455,37.36,https://www.codechef.com/status/DISCSHOP,beginner
76,School of Geometry,https://www.codechef.com/problems/SNUG_FIT,https://www.codechef.com/submit/SNUG_FIT,2461,47.02,https://www.codechef.com/status/SNUG_FIT,beginner
77,Villages and Tribes,https://www.codechef.com/problems/VILTRIBE,https://www.codechef.com/submit/VILTRIBE,2471,45.25,https://www.codechef.com/status/VILTRIBE,beginner
78,Ordering teams,https://www.codechef.com/problems/ORDTEAMS,https://www.codechef.com/submit/ORDTEAMS,2473,34.62,https://www.codechef.com/status/ORDTEAMS,beginner
79,Chef and Inequality,https://www.codechef.com/problems/LTM40AB,https://www.codechef.com/submit/LTM40AB,2484,23.93,https://www.codechef.com/status/LTM40AB,beginner
80,Minimum Deletions,https://www.codechef.com/problems/RD19,https://www.codechef.com/submit/RD19,2494,46.32,https://www.codechef.com/status/RD19,beginner
81,Distribute Apples,https://www.codechef.com/problems/DSTAPLS,https://www.codechef.com/submit/DSTAPLS,2496,28.29,https://www.codechef.com/status/DSTAPLS,beginner
82,Truth and Dare,https://www.codechef.com/problems/TRUEDARE,https://www.codechef.com/submit/TRUEDARE,2505,39.23,https://www.codechef.com/status/TRUEDARE,beginner
83,Chef and Icecream,https://www.codechef.com/problems/CHFICRM,https://www.codechef.com/submit/CHFICRM,2507,24.41,https://www.codechef.com/status/CHFICRM,beginner
84,Chef and Sequence,https://www.codechef.com/problems/CHFAR,https://www.codechef.com/submit/CHFAR,2510,47.94,https://www.codechef.com/status/CHFAR,beginner
85,Balsa For The Three,https://www.codechef.com/problems/BFTT,https://www.codechef.com/submit/BFTT,2512,46.21,https://www.codechef.com/status/BFTT,beginner
86,Jumping in the hills,https://www.codechef.com/problems/HILLS,https://www.codechef.com/submit/HILLS,2526,38.31,https://www.codechef.com/status/HILLS,beginner
87,Xor Again,https://www.codechef.com/problems/XORAGN,https://www.codechef.com/submit/XORAGN,2526,36.57,https://www.codechef.com/status/XORAGN,beginner
88,Chef and Mean  ,https://www.codechef.com/problems/CHFM,https://www.codechef.com/submit/CHFM,2536,34.85,https://www.codechef.com/status/CHFM,beginner
89,Dinosaurs Football,https://www.codechef.com/problems/MXCH,https://www.codechef.com/submit/MXCH,2549,54.86,https://www.codechef.com/status/MXCH,beginner
90,Chef and Recipe,https://www.codechef.com/problems/CHEFRECP,https://www.codechef.com/submit/CHEFRECP,2553,35.57,https://www.codechef.com/status/CHEFRECP,beginner
91,Chef and Sum,https://www.codechef.com/problems/CSUM,https://www.codechef.com/submit/CSUM,2569,18.35,https://www.codechef.com/status/CSUM,beginner
92,Chef and String,https://www.codechef.com/problems/RECNDSTR,https://www.codechef.com/submit/RECNDSTR,2576,49.96,https://www.codechef.com/status/RECNDSTR,beginner
93,Chef vs Doof,https://www.codechef.com/problems/CLLCM,https://www.codechef.com/submit/CLLCM,2577,57.17,https://www.codechef.com/status/CLLCM,beginner
94,Coupon System,https://www.codechef.com/problems/COUPSYS,https://www.codechef.com/submit/COUPSYS,2578,49.06,https://www.codechef.com/status/COUPSYS,beginner
95,Chef Feeds Cats,https://www.codechef.com/problems/CATFEED,https://www.codechef.com/submit/CATFEED,2585,55.78,https://www.codechef.com/status/CATFEED,beginner
96,Check Algorithm,https://www.codechef.com/problems/CHEALG,https://www.codechef.com/submit/CHEALG,2595,42.42,https://www.codechef.com/status/CHEALG,beginner
97,Cache Hits,https://www.codechef.com/problems/CACHEHIT,https://www.codechef.com/submit/CACHEHIT,2617,47,https://www.codechef.com/status/CACHEHIT,beginner
98,Recruit Villagers,https://www.codechef.com/problems/VILLINE,https://www.codechef.com/submit/VILLINE,2653,56.6,https://www.codechef.com/status/VILLINE,beginner
99,Eidi Gift,https://www.codechef.com/problems/EID2,https://www.codechef.com/submit/EID2,2672,40.65,https://www.codechef.com/status/EID2,beginner
100,Chef and Work,https://www.codechef.com/problems/CHEFNWRK,https://www.codechef.com/submit/CHEFNWRK,2677,51.39,https://www.codechef.com/status/CHEFNWRK,beginner
101,Subsequence Equality,https://www.codechef.com/problems/LIKECS01,https://www.codechef.com/submit/LIKECS01,2678,48.15,https://www.codechef.com/status/LIKECS01,beginner
102,Chef and Street Food,https://www.codechef.com/problems/STFOOD,https://www.codechef.com/submit/STFOOD,2686,48.65,https://www.codechef.com/status/STFOOD,beginner
103,Coronavirus Spread,https://www.codechef.com/problems/COVID19,https://www.codechef.com/submit/COVID19,2690,44.35,https://www.codechef.com/status/COVID19,beginner
104,Valid Stack Operations,https://www.codechef.com/problems/VALIDSTK,https://www.codechef.com/submit/VALIDSTK,2692,44.21,https://www.codechef.com/status/VALIDSTK,beginner
105,Plus Multiply,https://www.codechef.com/problems/PLMU,https://www.codechef.com/submit/PLMU,2692,27.99,https://www.codechef.com/status/PLMU,beginner
106,Sell All the Cars,https://www.codechef.com/problems/CARSELL,https://www.codechef.com/submit/CARSELL,2692,25.99,https://www.codechef.com/status/CARSELL,beginner
107,Spell Bob,https://www.codechef.com/problems/SPELLBOB,https://www.codechef.com/submit/SPELLBOB,2711,31.7,https://www.codechef.com/status/SPELLBOB,beginner
108,Quentin Tarantino,https://www.codechef.com/problems/KOL16J,https://www.codechef.com/submit/KOL16J,2720,34.17,https://www.codechef.com/status/KOL16J,beginner
109,Weird Modulo Problem ,https://www.codechef.com/problems/EXUNA,https://www.codechef.com/submit/EXUNA,2731,55.38,https://www.codechef.com/status/EXUNA,beginner
110,Maximise the Sum,https://www.codechef.com/problems/NOMATCH,https://www.codechef.com/submit/NOMATCH,2754,37.52,https://www.codechef.com/status/NOMATCH,beginner
111,Entrance Exam,https://www.codechef.com/problems/ENTEXAM,https://www.codechef.com/submit/ENTEXAM,2763,14.8,https://www.codechef.com/status/ENTEXAM,beginner
112,Chef and String,https://www.codechef.com/problems/XYSTR,https://www.codechef.com/submit/XYSTR,2769,43.12,https://www.codechef.com/status/XYSTR,beginner
113,Pintu and Fruits,https://www.codechef.com/problems/CHPINTU,https://www.codechef.com/submit/CHPINTU,2771,27.5,https://www.codechef.com/status/CHPINTU,beginner
114,Breaking Bricks,https://www.codechef.com/problems/BRKBKS,https://www.codechef.com/submit/BRKBKS,2781,42.32,https://www.codechef.com/status/BRKBKS,beginner
115,Chef and His Apartment Dues,https://www.codechef.com/problems/CHEFAPAR,https://www.codechef.com/submit/CHEFAPAR,2790,34.47,https://www.codechef.com/status/CHEFAPAR,beginner
116,Workers,https://www.codechef.com/problems/CHEFWORK,https://www.codechef.com/submit/CHEFWORK,2800,37.06,https://www.codechef.com/status/CHEFWORK,beginner
117,Magician versus Chef,https://www.codechef.com/problems/MAGICHF,https://www.codechef.com/submit/MAGICHF,2806,41.23,https://www.codechef.com/status/MAGICHF,beginner
118,The Deadly Sin,https://www.codechef.com/problems/SINS,https://www.codechef.com/submit/SINS,2810,22.11,https://www.codechef.com/status/SINS,beginner
119,Bowling Strategy,https://www.codechef.com/problems/BOWLERS,https://www.codechef.com/submit/BOWLERS,2811,36.91,https://www.codechef.com/status/BOWLERS,beginner
120,Naive Chef,https://www.codechef.com/problems/NAICHEF,https://www.codechef.com/submit/NAICHEF,2813,52.58,https://www.codechef.com/status/NAICHEF,beginner
121,Random Pair,https://www.codechef.com/problems/RNDPAIR,https://www.codechef.com/submit/RNDPAIR,2815,54.56,https://www.codechef.com/status/RNDPAIR,beginner
122,Digit Longest Increasing Subsequences 2,https://www.codechef.com/problems/LISDIGIT,https://www.codechef.com/submit/LISDIGIT,2816,62.73,https://www.codechef.com/status/LISDIGIT,beginner
123,A Big Sale,https://www.codechef.com/problems/BIGSALE,https://www.codechef.com/submit/BIGSALE,2825,84.61,https://www.codechef.com/status/BIGSALE,beginner
124,At the Gates,https://www.codechef.com/problems/POPGATES,https://www.codechef.com/submit/POPGATES,2825,38.92,https://www.codechef.com/status/POPGATES,beginner
125,Life Limited,https://www.codechef.com/problems/LIFELTD,https://www.codechef.com/submit/LIFELTD,2829,49.92,https://www.codechef.com/status/LIFELTD,beginner
126,Chef and An Ideal Problem,https://www.codechef.com/problems/CHFIDEAL,https://www.codechef.com/submit/CHFIDEAL,2851,52.72,https://www.codechef.com/status/CHFIDEAL,beginner
127,Ping Paja Pong,https://www.codechef.com/problems/PAJAPONG,https://www.codechef.com/submit/PAJAPONG,2865,50.58,https://www.codechef.com/status/PAJAPONG,beginner
128,Appy and Contest,https://www.codechef.com/problems/HMAPPY2,https://www.codechef.com/submit/HMAPPY2,2887,15.14,https://www.codechef.com/status/HMAPPY2,beginner
129,Watermelon,https://www.codechef.com/problems/WATMELON,https://www.codechef.com/submit/WATMELON,2891,43.82,https://www.codechef.com/status/WATMELON,beginner
130,Chef and Demonetisation,https://www.codechef.com/problems/CHFMOT18,https://www.codechef.com/submit/CHFMOT18,2904,36.18,https://www.codechef.com/status/CHFMOT18,beginner
131,Maximum Remaining,https://www.codechef.com/problems/MAXREM,https://www.codechef.com/submit/MAXREM,2913,33.81,https://www.codechef.com/status/MAXREM,beginner
132,Chef Detective,https://www.codechef.com/problems/CHEFDETE,https://www.codechef.com/submit/CHEFDETE,2932,37.85,https://www.codechef.com/status/CHEFDETE,beginner
133,Making a Meal,https://www.codechef.com/problems/CFMM,https://www.codechef.com/submit/CFMM,2946,46.44,https://www.codechef.com/status/CFMM,beginner
134,Max power,https://www.codechef.com/problems/MAX2,https://www.codechef.com/submit/MAX2,2952,38.09,https://www.codechef.com/status/MAX2,beginner
135,Split the Str Ing,https://www.codechef.com/problems/SPLITIT,https://www.codechef.com/submit/SPLITIT,2955,54.94,https://www.codechef.com/status/SPLITIT,beginner
136,Chef and Serves,https://www.codechef.com/problems/CHSERVE,https://www.codechef.com/submit/CHSERVE,2979,55.82,https://www.codechef.com/status/CHSERVE,beginner
137,COVID Pandemic and Long Queue,https://www.codechef.com/problems/COVIDLQ,https://www.codechef.com/submit/COVIDLQ,2979,37.72,https://www.codechef.com/status/COVIDLQ,beginner
138,The Great Run,https://www.codechef.com/problems/PROC18A,https://www.codechef.com/submit/PROC18A,2986,41.21,https://www.codechef.com/status/PROC18A,beginner
139,Is it a Cakewalk Problem,https://www.codechef.com/problems/ISITCAKE,https://www.codechef.com/submit/ISITCAKE,2997,53.72,https://www.codechef.com/status/ISITCAKE,beginner
140,Print Pattern,https://www.codechef.com/problems/PPATTERN,https://www.codechef.com/submit/PPATTERN,3008,54.03,https://www.codechef.com/status/PPATTERN,beginner
141,Laddu,https://www.codechef.com/problems/LADDU,https://www.codechef.com/submit/LADDU,3019,44.7,https://www.codechef.com/status/LADDU,beginner
142,Peak Finding,https://www.codechef.com/problems/UWCOI20A,https://www.codechef.com/submit/UWCOI20A,3043,56.17,https://www.codechef.com/status/UWCOI20A,beginner
143,Chef and Cook Off Contests,https://www.codechef.com/problems/C00K0FF,https://www.codechef.com/submit/C00K0FF,3062,131.09,https://www.codechef.com/status/C00K0FF,beginner
144,Chef and Difficult Contests,https://www.codechef.com/problems/CHFTIRED,https://www.codechef.com/submit/CHFTIRED,3064,58.52,https://www.codechef.com/status/CHFTIRED,beginner
145,Snakes  Mongooses and the Ultimate Election,https://www.codechef.com/problems/SNELECT,https://www.codechef.com/submit/SNELECT,3071,54.01,https://www.codechef.com/status/SNELECT,beginner
146,Testing Robot,https://www.codechef.com/problems/TSTROBOT,https://www.codechef.com/submit/TSTROBOT,3086,52.63,https://www.codechef.com/status/TSTROBOT,beginner
147,Akhil And Colored Balls,https://www.codechef.com/problems/ACBALL,https://www.codechef.com/submit/ACBALL,3106,37.35,https://www.codechef.com/status/ACBALL,beginner
148,Chang and Bitwise OR,https://www.codechef.com/problems/CHNGOR,https://www.codechef.com/submit/CHNGOR,3141,48.95,https://www.codechef.com/status/CHNGOR,beginner
149,Chef and Secret Ingredient,https://www.codechef.com/problems/PCJ18A,https://www.codechef.com/submit/PCJ18A,3143,52.54,https://www.codechef.com/status/PCJ18A,beginner
150,Chef Swaps Digits,https://www.codechef.com/problems/SWPDGT,https://www.codechef.com/submit/SWPDGT,3164,30.09,https://www.codechef.com/status/SWPDGT,beginner
151,Football Match,https://www.codechef.com/problems/FBMT,https://www.codechef.com/submit/FBMT,3168,57.85,https://www.codechef.com/status/FBMT,beginner
152,Chef and Glove,https://www.codechef.com/problems/CHEGLOVE,https://www.codechef.com/submit/CHEGLOVE,3190,109.72,https://www.codechef.com/status/CHEGLOVE,beginner
153,Collisions,https://www.codechef.com/problems/LCOLLIS,https://www.codechef.com/submit/LCOLLIS,3197,34.4,https://www.codechef.com/status/LCOLLIS,beginner
154,Fancy Quotes,https://www.codechef.com/problems/FANCY,https://www.codechef.com/submit/FANCY,3218,31.52,https://www.codechef.com/status/FANCY,beginner
155,Even tual Reduction,https://www.codechef.com/problems/EVENTUAL,https://www.codechef.com/submit/EVENTUAL,3221,62.14,https://www.codechef.com/status/EVENTUAL,beginner
156,Chef Diet,https://www.codechef.com/problems/DIET,https://www.codechef.com/submit/DIET,3251,54.8,https://www.codechef.com/status/DIET,beginner
157,Days in Month,https://www.codechef.com/problems/NW1,https://www.codechef.com/submit/NW1,3252,35.25,https://www.codechef.com/status/NW1,beginner
158,Chef in Fantasy League,https://www.codechef.com/problems/FFL,https://www.codechef.com/submit/FFL,3279,40.1,https://www.codechef.com/status/FFL,beginner
159,Chef and Price Control,https://www.codechef.com/problems/PRICECON,https://www.codechef.com/submit/PRICECON,3288,65.99,https://www.codechef.com/status/PRICECON,beginner
160,Mathison and pangrams,https://www.codechef.com/problems/MATPAN,https://www.codechef.com/submit/MATPAN,3296,50.28,https://www.codechef.com/status/MATPAN,beginner
161,Chef Chick,https://www.codechef.com/problems/CHFCHK,https://www.codechef.com/submit/CHFCHK,3304,60.69,https://www.codechef.com/status/CHFCHK,beginner
162,Chef and Eid,https://www.codechef.com/problems/EID,https://www.codechef.com/submit/EID,3317,43.38,https://www.codechef.com/status/EID,beginner
163,Multiple Choice Exam,https://www.codechef.com/problems/EXAM1,https://www.codechef.com/submit/EXAM1,3320,54.77,https://www.codechef.com/status/EXAM1,beginner
164,Devu and an Array,https://www.codechef.com/problems/DEVARRAY,https://www.codechef.com/submit/DEVARRAY,3356,47.54,https://www.codechef.com/status/DEVARRAY,beginner
165,Lost Weekends,https://www.codechef.com/problems/LOSTWKND,https://www.codechef.com/submit/LOSTWKND,3370,49.9,https://www.codechef.com/status/LOSTWKND,beginner
166,Who dares to be a millionaire,https://www.codechef.com/problems/WDTBAM,https://www.codechef.com/submit/WDTBAM,3387,21.3,https://www.codechef.com/status/WDTBAM,beginner
167,Xenny and Alternating Tasks,https://www.codechef.com/problems/XENTASK,https://www.codechef.com/submit/XENTASK,3397,45.12,https://www.codechef.com/status/XENTASK,beginner
168,Medel,https://www.codechef.com/problems/MDL,https://www.codechef.com/submit/MDL,3420,59.61,https://www.codechef.com/status/MDL,beginner
169,Lift Requests,https://www.codechef.com/problems/LIFTME,https://www.codechef.com/submit/LIFTME,3425,44.18,https://www.codechef.com/status/LIFTME,beginner
170,Chef and Steps,https://www.codechef.com/problems/CHEFSTEP,https://www.codechef.com/submit/CHEFSTEP,3437,43.95,https://www.codechef.com/status/CHEFSTEP,beginner
171,A   Books,https://www.codechef.com/problems/BIT2A,https://www.codechef.com/submit/BIT2A,3447,56.96,https://www.codechef.com/status/BIT2A,beginner
172,Ada and crayons,https://www.codechef.com/problems/ADACRA,https://www.codechef.com/submit/ADACRA,3454,47.21,https://www.codechef.com/status/ADACRA,beginner
173,Nothing in Common,https://www.codechef.com/problems/NOTINCOM,https://www.codechef.com/submit/NOTINCOM,3490,48.09,https://www.codechef.com/status/NOTINCOM,beginner
